52,52294922
52,90795898
53,34033203
53,74536133
54,17431641
54,60839844
55,00610352
55,41503906
55,8137207
56,22680664
56,67895508
57,14135742
57,56005859
57,98242188
58,41088867
58,83251953
59,2590332
59,68652344
60,16674805
60,64892578
61,13500977
61,62866211
62,07592773
62,52832031
62,98168945
63,42944336
63,92773438
64,44482422
64,90991211
65,38916016
65,9161911
66,45427704
66,99065399
67,53093719
68,03118134
68,52849579
69,08293915
69,63567352
70,1439743
70,64812469
71,15789032
71,66082001
72,17327118
72,74895477
73,28093719
73,81096649
74,40007782
74,99504852
75,53582001
76,12346649
76,71526337
77,32024384
77,92839813
78,54680634
79,12200165
79,70159149
80,28044891
80,86443329
81,50774384
82,15642548
82,75554657
83,41790009
84,08538055
84,76384735
85,45134735
86,08245087
86,70671844
87,33879852
88,04094696
88,74211884
89,3861618
90,11956024
90,84856415
91,58000946
92,32952118
93,07805634
93,76604462
94,45842743
95,16408539
95,87160492
96,58937836
97,36818695
98,16652679
98,96974945
99,77639008
100,5107651
101,2583237
102,0068588
102,7558823
103,5884018
104,368187
105,1499252
105,9341049
106,8066635
107,6914291
108,5849838
109,4848862
110,3071518
111,1382065
111,9726791
112,8208237
113,6699448
114,5381088
115,4233627
116,3008041
117,2739487
118,2651596
119,2881088
120,2070541
121,2392807
122,1855698
123,1528549
124,1196518
125,102562
126,1006088
127,2158432
128,3217926
129,4423981
130,4775543
131,6220856
132,6753082
133,7407379
134,9282379
136,023941
137,1220856
138,336441
139,5780487
140,8329315
142,1024628
143,3871307
144,5770721
145,8939667
147,2176971
148,4437714
149,6825409
151,0511932
152,4237518
153,8221893
155,2606659
156,5809784
158,0448456
159,5301971
160,8964081
162,2489471
163,7440643
165,1200409
166,653244
168,1942596
169,7645721
171,3749237
172,9735565
174,5692596
176,1835175
177,6952362
179,2264862
180,8114471
182,5682831
184,3573456
186,16008
187,9628143
189,8075409
191,5087128
193,403244
195,3153534
197,0878143
198,8710175
200,6796112
202,4940643
204,5175018
206,5868378
208,6825409
210,7762909
212,9159393
215,0876617
217,0769196
219,2937164
221,3532867
223,6433258
225,9616852
228,3269196
230,5144196
232,9480133
235,4265289
237,9245758
240,4646149
242,8239899
245,1872711
247,5720367
250,0153961
252,4997711
254,997818
257,782959
260,3630371
263,2282715
266,1013184
269,0310059
271,6911621
274,6306152
277,251709
280,1931152
283,2321777
286,095459
288,986084
292,3063965
295,6618652
299,048584
302,4567871
305,9528809
309,4802246
313,0388184
316,6774902
320,0603027
323,8649902
327,7185059
331,6286621
335,5895996
339,2185059
343,2321777
347,3200684
351,5114746
355,8010254
360,138916
364,1486816
368,2443848
372,7971191
377,4455566
382,2092285
386,6330566
391,0881348
395,5939941
400,6350098
405,3400879
410,0959473
415,4025879
420,8537598
425,9123535
431,513916
437,2404785
443,0959473
449,0646973
455,107666
461,3186035
467,654541
474,0959473
480,6467285
487,3850098
494,2990723
501,3225098
508,4709473
515,8146973
523,3537598
530,9943848
538,842041
546,1740723
554,3381348
562,5725098
571,0646973
579,7404785
588,5529785
597,5529785
606,8225098
616,3342285
626,0061035
635,951416
646,2131348
656,685791
667,3024292
678,2164917
689,3805542
700,7321167
712,3649292
724,3258667
736,5680542
749,0446167
761,8961792
773,9118042
786,1696167
798,5602417
811,2086792
825,5133667
840,0758667
854,9664917
870,4039917
886,2711792
902,4586792
919,2243042
936,5055542
954,2008667
972,2946167
990,8805542
1010,060242
1029,708618
1049,911743
1070,911743
1092,544556
1114,622681
1135,388306
1156,778931
1178,544556
1200,794556
1225,997681
1251,888306
1278,325806
1305,622681
1333,919556
1363,107056
1392,982056
1423,810181
1455,810181
1488,513306
1522,278931
1557,294556
1593,233887
1630,062012
1668,405762
1708,093262
1745,140137
1787,202637
1830,843262
1875,874512
1921,968262
1969,937012
2019,624512
2070,562012
2123,374512
2178,405762
2235,187012
2293,874512
2354,905762
2417,874512
2482,780762
2550,187012
2620,437012
2692,593262
2767,530762
2845,718262
2926,124512
3009,187012
3095,562012
3184,249512
3275,062012
3362,624512
3449,593262
3488,827637
3502,443848
3511,34668
3359,713867
3182,56543
3016,37793
2858,37793
2715,56543
2589,87793
2471,37793
2369,12793
2272,87793
2183,00293
2098,75293
2019,15918
1945,03418
1875,40918
1809,69043
1747,90918
1690,00293
1634,97168
1582,81543
1533,59668
1486,69043
1441,81543
1399,19043
1358,62793
1319,643555
1282,44043
1247,03418
1213,12793
1180,456055
1149,237305
1119,40918
1087,768555
1060,049805
1033,44043
1007,81543
982,9248047
958,9560547
936,0029297
913,8623047
892,4091797
871,7841797
851,9560547
832,8154297
814,2373047
796,3779297
779,1748047
762,4716797
744,6435547
729,0419922
713,9717407
699,2686157
685,0108032
671,2686157
657,9483032
644,9404907
632,3389282
620,1358032
608,3154907
596,7764282
585,6045532
574,7764282
564,3154907
554,0811157
544,163147
534,569397
525,2451782
516,1045532
507,2217407
498,5967407
490,194397
481,9678345
473,9795532
466,2373657
458,694397
451,2959595
444,0967407
437,1045532
430,2764282
423,585022
417,0654907
410,7139282
404,5186157
398,4014282
392,428772
386,6240845
380,9561157
374,8311157
368,881897
363,100647
357,4170532
352,3311157
347,366272
342,5186157
337,7608032
333,0830688
328,5147095
324,0615845
319,6807251
315,3526001
311,1322021
307,005249
302,942749
298,942749
295,036499
291,2200928
287,4818115
283,7904053
280,1810303
276,6419678
273,1634521
269,7161865
266,333374
263,0091553
259,7513428
256,5228271
253,3646088
250,2884369
247,2728119
244,2767181
241,0501556
237,8978119
234,7942963
232,0052338
229,2884369
226,6380463
224,0149994
221,4271088
218,8919525
216,3978119
213,9388275
211,5110931
209,1282806
206,7835541
204,4808197
202,2005463
199,9632416
197,765976
195,609726
193,4788666
191,3802338
189,3401947
187,3255463
185,328476
183,3626556
181,4339447
179,5208588
177,63414
175,7806244
173,9524994
172,1611938
170,3926392
168,656311
166,9541626
165,2852173
163,6289673
161,9893188
