s;F;;s;F;;s;F;;s;F
13,69507593;27,32569122;;13,66897711;28,88148689;;13,91813564;25,38378334;;13,67069271;28,17223549
13,68409723;27,60938263;;13,65897497;29,16798592;;13,9081335;25,61327553;;13,66068295;28,44518471
13,6731109;27,90332794;;13,64896521;29,44911385;;13,89714718;25,87536049;;13,65067318;28,71434975
13,66310113;28,1629715;;13,63894781;29,73732185;;13,88616848;26,14623451;;13,64065579;28,98229408
13,653099;28,42224884;;13,62894567;30,02552986;;13,87615108;26,3880558;;13,63064602;29,26085854
13,6430816;28,68274689;;13,61796698;30,34413338;;13,86516475;26,6446476;;13,61966732;29,56188393
13,63307184;28,95166779;;13,60794958;30,63551521;;13,8541708;26,91124916;;13,60966519;29,84520912
13,62209314;29,24280548;;13,59794744;30,92640877;;13,8441534;27,14953041;;13,59965542;30,12865639
13,612091;29,52100372;;13,58695349;31,24513435;;13,83414364;27,38915443;;13,58866146;30,4505558
13,60208124;29,79383087;;13,57695135;31,53541756;;13,8241415;27,63158607;;13,5786517;30,73009682
13,59109491;30,10327911;;13,56598028;31,85035896;;13,81413925;27,87755775;;13,567673;31,03942299
13,58108514;30,3730545;;13,55499395;32,1762886;;13,80314529;28,14550209;;13,55668667;31,35692787
13,57009881;30,67188263;;13,54499182;32,47914505;;13,79215896;28,42174721;;13,54668454;31,63988686
13,55912011;30,97681427;;13,53498968;32,77919388;;13,78117263;28,69652748;;13,53569058;31,9538517
13,54911798;31,25550079;;13,52399572;33,10878372;;13,77115524;28,94664955;;13,52469662;32,27428818
13,53910821;31,52906036;;13,51398691;33,41397476;;13,7611531;29,20067787;;13,51469448;32,56676865
13,52811426;31,84375763;;13,50397715;33,71304703;;13,75015151;29,47496986;;13,50468472;32,86010361
13,5171203;32,16309357;;13,49298319;34,03946304;;13,74014175;29,73131752;;13,49468258;33,15819931
13,50711053;32,44446564;;13,48199686;34,37735367;;13,72914779;30,00939369;;13,48368863;33,48498154
13,4971084;32,73596954;;13,47199472;34,685215;;13,71914565;30,26647377;;13,47368649;33,78307724
13,48612207;33,04846954;;13,4610084;35,02933121;;13,70912826;30,52770424;;13,46270779;34,10375595
13,4761123;33,33228302;;13,45100626;35,33890152;;13,69814026;30,81274986;;13,45171383;34,42968369
13,46511834;33,64270782;;13,44099649;35,64981461;;13,68716919;31,1053524;;13,44170407;34,72948837
